city,capacity
Amsterdam,6000
Paris,9000
London 4,4921
London 3,4921
Glasgow,14300
Wolverhampton,3404
London 2,5000
London 1,5000
Manchester 2,3500
Manchester 1,3500
Dublin,13000
Austin 2,15000
St. Augustine,4092
Atlanta,6900
Nashville,6800
Raleigh,5990
Wilmington,7200
New York 2,19500
New York 1,19500
Charlottesville,3500
Washington 2,6000
Washington 1,6000
Philadelphia,14000
Boston,19600
Laval,10000
Toronto,16000
Rochester Hills,7700
Indianapolis,6000
Cincinnati,8000
Cuyahoga Falls,5700
Milwaukee,5000
Minneapolis 2,8400
Minneapolis 1,8400
Chicago 2,30000
Chicago 1,30000
Maryland Heights,4500
Lincoln,5500
Kansas City,7739
Dillon,3656
Morrison,9525
Bonner 2,4250
Bonner 1,4250
Seattle,17200
Bend,8000
Burnaby,10000
Berkeley 2,8500
Berkeley 1,8500
Los Angeles,17500
San Diego,4600
Phoenix,5000
Irving,8000
Houston,5000